TANGGAL,TN,TX,TAVG,RR,SS
01-01-2024,"25,6","34,4","28,4","5,1","5,1"
02-01-2024,26,"34,1","28,5",18,"4,7"
03-01-2024,26,"29,8","27,7","36,2","3,4"
04-01-2024,"26,1","28,6","26,3",8888,0
05-01-2024,"24,5","33,6","28,1","3,5",0
06-01-2024,25,"35,8",28,"0,7","2,4"
07-01-2024,"25,2","34,5","27,3","12,7","5,8"
08-01-2024,25,32,28,"25,5","5,8"
09-01-2024,"25,4","34,8","28,2","6,5","4,4"
10-01-2024,"25,3","33,9","26,8",8888,"4,5"
11-01-2024,24,"33,4",27,"36,1","2,7"
12-01-2024,"24,2","34,4","28,8","13,8","3,5"
13-01-2024,25,"34,4","28,6","2,5","7,1"
14-01-2024,"24,5","33,9","28,6","35,5","6,3"
15-01-2024,"25,2","33,4","28,6",0,"5,7"
16-01-2024,"26,2","34,6","28,2",0,"2,1"
17-01-2024,"25,2","32,6",28,11,"6,8"
18-01-2024,"25,3","32,4",28,8888,"2,3"
19-01-2024,"25,2","29,8","26,7","32,5","0,6"
20-01-2024,"24,2","34,8","28,6","0,3","0,6"
21-01-2024,"23,4",34,"28,9",8888,"7,1"
22-01-2024,"23,6","33,4","28,1",0,"6,1"
23-01-2024,25,"33,7","28,7","7,5",4
24-01-2024,"24,9","33,2","27,1",8888,"2,9"
25-01-2024,"24,3","34,2","27,2","5,4","4,9"
26-01-2024,24,"33,2","28,3","38,5","6,7"
27-01-2024,"25,4","32,6","28,2","4,5","5,5"
28-01-2024,"25,3",32,28,1,"4,4"
29-01-2024,"25,6","30,2","27,6",1,"4,1"
30-01-2024,"25,5",33,28,"2,1","1,9"
31-01-2024,"24,8",32,"25,6","4,8","5,2"
01-02-2024,"23,2",34,"26,9","60,3","1,4"
02-02-2024,"24,4","33,4","26,9","60,7","6,8"
03-02-2024,25,"32,8","26,9",2,"4,3"
04-02-2024,"24,3","33,2","27,1","12,2","4,9"
05-02-2024,"24,3","33,4","26,9","11,8","5,6"
06-02-2024,"24,4","33,3","26,5","6,5","5,5"
07-02-2024,24,"32,4","26,9",1,"3,8"
08-02-2024,"24,4","33,8",28,"0,2","3,6"
09-02-2024,"24,5","34,8","28,6","0,8","5,9"
10-02-2024,"25,1",32,"25,8",1,"8,6"
11-02-2024,24,"33,6","26,9",40,1
12-02-2024,"24,3","32,8","27,8","29,3","7,4"
13-02-2024,"24,8",34,"29,2",0,"5,5"
14-02-2024,25,32,"27,7",0,"7,3"
15-02-2024,"25,2","34,4","27,5",8888,"1,4"
16-02-2024,"24,8","34,8","28,7","0,3","5,3"
17-02-2024,25,"33,8","27,6","26,8","7,5"
18-02-2024,25,"33,6","27,7","0,4","5,3"
19-02-2024,25,"34,8","28,3",0,"6,1"
20-02-2024,"24,8","34,2",29,"31,8","6,7"
21-02-2024,"25,3","34,4","28,2","0,1",9
22-02-2024,"24,5","34,6","29,1","5,2","4,2"
23-02-2024,25,"33,4","28,6",0,"8,8"
24-02-2024,"24,8","33,8","27,8","6,7",2
25-02-2024,"24,3","32,6",27,"37,1","3,9"
26-02-2024,"24,4","33,4","28,6","36,5","4,2"
27-02-2024,25,35,"27,8","0,1","4,7"
28-02-2024,"24,2",32,"28,1","68,2","7,9"
29-02-2024,"25,4",34,"28,5",8888,"2,1"
01-03-2024,"25,4","33,8","27,3",0,"4,4"
02-03-2024,"24,2","32,8","26,8","28,1","5,7"
03-03-2024,25,33,"27,9","23,3","4,6"
04-03-2024,"25,2","33,8","28,1","0,1","4,5"
05-03-2024,"24,9","34,7","27,5",2,"5,4"
06-03-2024,"24,2","34,6","27,6",32,"5,8"
07-03-2024,"24,8",33,"28,2","21,5","5,4"
08-03-2024,"25,6","32,9","28,2","0,3",4
09-03-2024,-,-,-,8888,"2,3"
10-03-2024,"24,2",31,"26,3","19,6",0
11-03-2024,"24,4","30,2","26,8","29,9",0
12-03-2024,"24,8","30,9",27,"9,2","0,7"
13-03-2024,"24,8","31,2","26,5","0,4","1,6"
14-03-2024,"24,4",30,"25,7","28,6","0,3"
15-03-2024,24,30,"26,7","13,5","0,7"
16-03-2024,"24,2","32,4","27,3","1,5","1,1"
17-03-2024,24,"32,5","26,8","0,5",7
18-03-2024,"23,2","33,2","27,8",8888,"3,4"
19-03-2024,"23,2","35,4","29,5",0,"5,7"
20-03-2024,"24,4","34,9","29,8",0,"9,4"
21-03-2024,"24,4","34,7",29,"0,2","9,1"
22-03-2024,"24,8","33,6","28,6",0,"7,9"
23-03-2024,"25,2","34,4","29,2",0,"5,4"
24-03-2024,"25,4","34,4","29,6","0,8","5,9"
25-03-2024,"25,2","34,6","29,1",0,"7,4"
26-03-2024,"24,5","34,8","29,5",0,"6,5"
27-03-2024,"24,5","34,1","27,2",0,"7,7"
28-03-2024,"24,4","34,2","26,7",2,"4,7"
29-03-2024,"23,8","33,4",28,30,"4,7"
30-03-2024,"24,6","34,8","28,6","4,5","5,7"
31-03-2024,"25,2",35,"27,9",8888,"6,4"
01-04-2024,"24,8",34,"28,3","5,8",5
02-04-2024,"25,4","34,4","29,5",2,"5,7"
03-04-2024,"26,2",33,"28,1","5,2","5,3"
04-04-2024,"21,2","34,6","28,6",52,"3,4"
05-04-2024,"26,2",35,31,"1,4","4,8"
06-04-2024,"26,4","33,6",29,0,"6,5"
07-04-2024,"24,2","35,2","29,2",22,"4,7"
08-04-2024,"24,6","34,8","29,1","5,8","8,2"
09-04-2024,"24,8","30,3",27,"87,7","8,2"
10-04-2024,"24,2",33,"28,5","13,5",0
11-04-2024,"25,2",34,"29,2",0,"5,4"
12-04-2024,"25,2","33,2","27,4",8,"7,4"
13-04-2024,"25,2","34,4","29,7",9,"2,2"
14-04-2024,"25,2",34,"28,8",0,"8,7"
15-04-2024,"26,2","32,8","29,1","1,9","4,4"
16-04-2024,26,"34,6","29,7",0,"4,4"
17-04-2024,"25,4","35,2","28,8",0,"8,2"
18-04-2024,"25,2","35,2","27,8",6,"5,4"
19-04-2024,"20,2","33,1","28,7",94,"4,8"
20-04-2024,"25,4","34,4","29,6",0,"3,5"
21-04-2024,26,"34,6","27,7",0,"4,4"
22-04-2024,"24,8","34,8",30,6,"3,7"
23-04-2024,"25,8","32,6","28,5",0,"8,1"
24-04-2024,"25,6","33,6","29,6",8888,"4,1"
25-04-2024,"26,6","34,4","29,3",0,"5,4"
26-04-2024,"26,4","34,4","29,7",8888,"6,3"
27-04-2024,25,"34,6","29,5","0,4","7,4"
28-04-2024,"25,8","34,3","29,3","4,5","5,5"
29-04-2024,26,"34,6","29,8","18,3","7,9"
30-04-2024,"26,2",35,30,0,"6,3"
01-05-2024,"26,6",34,"29,7",-,"6,9"
02-05-2024,"26,8","34,3","29,8",0,"1,9"
03-05-2024,"25,8","34,8","29,9",0,"4,4"
04-05-2024,"26,4","35,2","29,9",0,"7,2"
05-05-2024,"25,2","35,2","29,4",0,"8,5"
06-05-2024,25,35,"29,1",0,"7,1"
07-05-2024,"23,6","35,4","29,2",0,"8,3"
08-05-2024,"24,3","34,8","29,5",0,9
09-05-2024,"25,4","34,7","29,7",0,"8,3"
10-05-2024,"25,6","34,6","29,6",0,"8,7"
11-05-2024,"26,4","35,2","29,9",0,"7,2"
12-05-2024,"26,2","34,8","29,6",0,"7,1"
13-05-2024,"26,4","34,4","29,3",8888,"5,1"
14-05-2024,"25,1","34,8","29,5",0,"5,2"
15-05-2024,"25,2","35,4","29,9",0,"5,7"
16-05-2024,"25,3","33,6",29,0,"8,8"
17-05-2024,"25,2",35,"29,5",0,"7,9"
18-05-2024,"25,4","35,2",30,0,"7,8"
19-05-2024,"25,6","34,4","29,1",0,"8,2"
20-05-2024,"24,6","34,8","29,5",0,"8,6"
21-05-2024,"24,8","34,4","29,4",0,8
22-05-2024,"25,2","34,3","29,3",0,"5,4"
23-05-2024,"25,6","34,2","29,3",0,"7,4"
24-05-2024,"26,4","33,8","28,9",8888,"5,8"
25-05-2024,"25,6","29,9","27,3","5,8","3,2"
26-05-2024,26,"34,6","29,1","2,4",0
27-05-2024,"24,6","35,2","29,6",0,"6,7"
28-05-2024,"25,2","35,6","29,8",0,"8,3"
29-05-2024,"25,4","34,6","29,7",0,"8,3"
30-05-2024,"25,2","35,2","29,6",0,10
31-05-2024,"25,2","35,3","29,7",0,"8,3"
01-06-2024,"25,4",34,29,0,"8,2"
02-06-2024,"25,2","34,2","28,7",0,"0,3"
03-06-2024,"25,6","33,8","27,3",0,"3,8"
04-06-2024,25,"34,1","28,8","52,7","1,6"
05-06-2024,"24,6","34,4","28,5",0,7
06-06-2024,"22,6","34,8","28,9",0,"8,5"
07-06-2024,"23,4",35,29,0,"8,7"
